eventId,easting,northing,altitude,type,dipDir,dip,dipPolarity,val,displacement,posOnly
12644,579946.9722573719,7491848.630741454,642.7568014452568,0,32.80990953625107,90.0,1.0,0.0,0.0,0
12644,570291.3411079416,7496747.4526735665,642.7568014452568,0,32.80990953625107,90.0,1.0,0.0,0.0,0
12644,588909.3389537382,7484784.496653053,697.1544851291677,0,32.80990953625107,90.0,1.0,0.0,0.0,0
2235,518114.98156015546,7494481.828883212,420.0825585979116,0,52.52090791804787,90.0,1.0,0.0,0.0,0
2235,525346.1687314493,7483398.349635428,420.0825585979116,0,52.52090791804787,90.0,1.0,0.0,0.0,0
2235,512968.7285490803,7499502.878543418,551.3170318230653,0,52.52090791804787,90.0,1.0,0.0,0.0,0
11442,574966.6324626296,7490068.89090867,657.9313869680592,0,43.275853434843015,90.0,1.0,0.0,0.0,0
11442,573871.8982553367,7488503.564051636,657.9313869680592,0,43.275853434843015,90.0,1.0,0.0,0.0,0
11442,566554.093966781,7495423.204080898,636.5090491641915,0,43.275853434843015,90.0,1.0,0.0,0.0,0
3496,526156.3002031927,7494353.882972504,429.3142620800888,0,55.70146833240621,90.0,1.0,0.0,0.0,0
3496,534588.7777754697,7483767.41994948,429.3142620800888,0,55.70146833240621,90.0,1.0,0.0,0.0,0
3496,522172.628290326,7502016.402980157,539.735080088115,0,55.70146833240621,90.0,1.0,0.0,0.0,0
5298,512969.63810380216,7494899.587632616,582.4248537275571,0,26.5471593816318,90.0,1.0,0.0,0.0,0
5298,509504.8237395693,7495366.818118318,582.4248537275571,0,26.5471593816318,90.0,1.0,0.0,0.0,0
5298,516331.8803245728,7491937.6925653145,500.2418801750625,0,26.5471593816318,90.0,1.0,0.0,0.0,0
12647,526705.2479606528,7491648.463588669,543.4807732364213,0,56.971293272508966,90.0,1.0,0.0,0.0,0
12647,520265.0048616918,7501680.336643562,543.4807732364213,0,56.971293272508966,90.0,1.0,0.0,0.0,0
12647,530630.0037176331,7485782.13091925,422.5942560296636,0,56.971293272508966,90.0,1.0,0.0,0.0,0
2997,541879.1074876299,7493248.4054500135,648.3912450929209,0,39.1048647422563,90.0,1.0,0.0,0.0,0
2997,545830.6612929781,7489455.951363145,648.3912450929209,0,39.1048647422563,90.0,1.0,0.0,0.0,0
2997,534390.2357650589,7498708.253807202,518.1189397229581,0,39.1048647422563,90.0,1.0,0.0,0.0,0
1236,570778.4370030658,7494475.521075611,636.8229716978971,0,44.209936855007385,90.0,1.0,0.0,0.0,0
1236,569370.2709094136,7496365.045923127,636.8229716978971,0,44.209936855007385,90.0,1.0,0.0,0.0,0
1236,573791.9624039913,7492078.710597318,811.7213357750197,0,44.209936855007385,90.0,1.0,0.0,0.0,0
2689,500976.5839505052,7498642.353993418,452.41411920134806,0,52.66032501447204,90.0,1.0,0.0,0.0,0
2689,500031.22743727866,7499912.335720211,452.41411920134806,0,52.66032501447204,90.0,1.0,0.0,0.0,0
2689,503375.0474448532,7495499.853631149,536.9070899362871,0,52.66032501447204,90.0,1.0,0.0,0.0,0
3498,532868.221779978,7501076.944091788,589.7618384917727,0,53.45748321344408,90.0,1.0,0.0,0.0,0
3498,539485.5298380903,7491524.148248475,589.7618384917727,0,53.45748321344408,90.0,1.0,0.0,0.0,0
3498,530148.0360057006,7504152.4880699655,575.152788930206,0,53.45748321344408,90.0,1.0,0.0,0.0,0
2688,506786.1632512546,7498379.454097386,677.6484196520377,0,33.7402458357212,90.0,1.0,0.0,0.0,0
2688,510584.6926903834,7496898.001633044,677.6484196520377,0,33.7402458357212,90.0,1.0,0.0,0.0,0
2688,503727.00922428205,7501483.17204041,467.3460895168004,0,33.7402458357212,90.0,1.0,0.0,0.0,0
2843,513718.95606381947,7500867.204320013,731.9400403916065,0,49.99782018838791,90.0,1.0,0.0,0.0,0
2843,505861.8390958886,7508723.919390605,731.9400403916065,0,49.99782018838791,90.0,1.0,0.0,0.0,0
2843,519914.0503564712,7492047.314152819,519.4863744718613,0,49.99782018838791,90.0,1.0,0.0,0.0,0
14378,515165.05973610707,7505522.516431715,555.6077465544189,0,46.07272475480573,90.0,1.0,0.0,0.0,0
14378,504074.37874542334,7512512.673640315,555.6077465544189,0,46.07272475480573,90.0,1.0,0.0,0.0,0
14378,520608.7113086093,7495336.479308843,507.4629925593084,0,46.07272475480573,90.0,1.0,0.0,0.0,0
12658,548942.3665401322,7507138.749553824,633.5715368688767,0,66.11421618350484,90.0,1.0,0.0,0.0,0
12658,546574.6884726138,7512669.105791888,633.5715368688767,0,66.11421618350484,90.0,1.0,0.0,0.0,0
12658,552694.848400621,7498692.912618931,541.8593214535349,0,66.11421618350484,90.0,1.0,0.0,0.0,0
12660,514365.4420886813,7510093.109791364,523.8653067240126,0,24.411995116881464,90.0,1.0,0.0,0.0,0
12660,509504.4141395232,7514266.348850514,523.8653067240126,0,24.411995116881464,90.0,1.0,0.0,0.0,0
12660,521055.8703063806,7509007.318321811,579.7598242768389,0,24.411995116881464,90.0,1.0,0.0,0.0,0
15552,512595.4237880052,7509912.72238236,557.3562609451363,0,35.52296838163551,90.0,1.0,0.0,0.0,0
15552,515333.55977481743,7509752.777344155,557.3562609451363,0,35.52296838163551,90.0,1.0,0.0,0.0,0
15552,508123.05476138316,7514950.597461859,531.7466924003744,0,35.52296838163551,90.0,1.0,0.0,0.0,0
16769,519547.7820791633,7512935.581370861,581.2868059476646,0,13.373732696178848,90.0,1.0,0.0,0.0,0
16769,522368.7065858801,7512051.110120383,581.2868059476646,0,13.373732696178848,90.0,1.0,0.0,0.0,0
16769,516269.67461541836,7513535.151002816,549.2135322602205,0,13.373732696178848,90.0,1.0,0.0,0.0,0
2248,520537.43500872946,7514109.453838866,582.7663601211523,0,48.88701995853586,90.0,1.0,0.0,0.0,0
2248,522786.40920257696,7511498.829063091,582.7663601211523,0,48.88701995853586,90.0,1.0,0.0,0.0,0
2248,517970.4778992732,7517092.309382581,568.4485128367749,0,48.88701995853586,90.0,1.0,0.0,0.0,0
8973,531210.9451393419,7520935.682352244,555.0025430948003,0,40.806184428254,90.0,1.0,0.0,0.0,0
8973,528095.3318353924,7523663.75564532,555.0025430948003,0,40.806184428254,90.0,1.0,0.0,0.0,0
8973,533116.063739873,7519396.840884722,605.0930269492213,0,40.806184428254,90.0,1.0,0.0,0.0,0
