layerId,easting,northing,altitude,type,dipDir,dip,dipPolarity,layer
15,544630.8762186379,7487507.836569872,608.7664939431817,4,56.4359081399436,340.8113523502651,1.0,b's0'
18,531338.8719815965,7465702.637583299,476.7257207562103,4,92.54353013153931,354.5818692437788,1.0,b's0'
18,512932.9300678991,7483041.455096079,457.0216961472013,4,51.36333707928136,179.34817530496173,1.0,b's0'
15,521551.63217598345,7460765.709864493,421.1150342777274,4,45.009588575827685,25.31168822084544,1.0,b's0'
18,529601.1684284778,7489272.0629642755,481.2893111468348,4,33.08661506228548,5.274111416390156,1.0,b's0'
18,550303.525159428,7459444.905844607,516.6830056472344,4,57.81569492610009,351.8964615307614,1.0,b's0'
15,530162.0670486981,7460984.928810217,431.7522583215838,4,87.48136214675058,350.31066854512403,1.0,b's0'
18,544128.251187504,7458994.046660139,437.982096340444,4,37.579253738079345,303.2429215601849,1.0,b's0'
18,532596.690336515,7488052.386622736,476.65050577576994,4,75.3562859973454,276.3989144811745,1.0,b's0'
18,529687.8598668993,7465715.721982506,483.3473669431296,4,52.64935144532432,346.1163695334123,1.0,b's0'
18,513133.1103161002,7483060.365470336,450.6282410788235,4,25.000964928638297,267.3301953812568,1.0,b's0'
15,512555.06785228214,7509897.509699372,556.7765273701366,4,17.74641252176633,199.1153402113472,1.0,b's0'
15,542179.1532602352,7531870.799987452,589.3019224029641,4,24.80672870327166,326.7451513223102,1.0,b's0'
15,538909.785311469,7532286.917843394,592.7423198446039,4,68.46385687874914,313.17917007428633,1.0,b's0'
15,533605.4250836538,7532638.137282811,623.1991556888931,4,39.18910727800633,287.7175502495722,1.0,b's0'
15,531173.8640532073,7532077.267698738,581.6293320501246,4,15.6812276421103,337.7113092146058,1.0,b's0'
15,526093.0643865939,7531149.340292418,566.1422462475603,4,20.34562202021057,37.13507415291821,1.0,b's0'
18,540854.5419013487,7464681.5885646045,416.1186845895049,4,29.12540168877502,187.93795341338011,1.0,b's0'
18,550627.4932149822,7482154.181468107,512.0658223779966,4,60.96799947892565,20.82126020180573,1.0,b's0'
15,548391.7271638673,7531569.607896018,606.8445337852386,4,46.58667438392889,251.83913747794736,1.0,b's0'
15,547490.4852773569,7531001.894850109,620.3292972217073,4,54.07176465202248,301.05233830378745,1.0,b's0'
15,546402.9530131861,7532746.6631661765,588.7693923823144,4,42.41944548664395,303.96970492589077,1.0,b's0'
15,570540.9567059099,7530621.136652179,603.0956368590178,4,18.067408736641994,192.87554657930184,1.0,b's0'
18,570701.1884919201,7510999.300177844,636.0511815300227,4,38.54305263017906,165.64416229865571,1.0,b's0'
18,584097.6103294127,7468902.618122324,675.8897293338414,4,11.198367275988403,353.21438970220436,1.0,b's0'
15,593085.2950073958,7529383.772016749,673.1865680026285,4,22.43458070223953,69.40995966275511,1.0,b's0'
15,503421.401615874,7533303.421198312,521.0951396917997,4,17.33121244935718,358.70777735837635,1.0,b's0'
15,560570.5249035582,7527102.723837395,612.0245584222738,4,54.53245561976333,299.63635965062355,1.0,b's0'
15,547612.8777334334,7513698.644902808,654.8660500378727,4,11.381799866892976,207.97090315243474,1.0,b's0'
15,538885.4481317762,7532179.975431361,595.3570663561504,4,12.16448861249907,117.82028735469521,1.0,b's0'
15,538160.7024692224,7521940.812051079,600.0920794080804,4,17.885976829852325,92.64466776003047,1.0,b's0'
18,540183.3507109007,7464628.902229353,409.69775524808153,4,30.60415738320097,345.5189380102794,1.0,b's0'
18,570461.928699477,7510923.630915732,637.9437449971892,4,47.101139224179164,341.6220076982511,1.0,b's0'
15,553043.2623360356,7484544.7209908515,517.4206535702082,4,30.76153669746391,3.8946227174072874,1.0,b's0'
18,510367.9723758381,7523202.048427088,550.081504390108,4,27.076968098659002,347.35502360439796,1.0,b's0'
15,553103.8379406488,7484545.7719022315,519.2034568054207,4,26.638465112758063,343.65269080746884,1.0,b's0'
18,584210.080826979,7469548.0325313015,666.3111650615069,4,29.156743093651855,23.748662467367808,1.0,b's0'
18,587079.8846774496,7478480.867736571,688.9307599134588,4,30.754623634790505,55.43876498048854,1.0,b's0'
