eventId,easting,northing,altitude,type,dipDir,dip,dipPolarity,val,displacement,posOnly
11442,574997.3672273188,7490085.00671105,657.9313869680592,0,132.55782950085535,31.640796638280676,1.0,0.0,0.0,0
11442,573916.8391976429,7488513.445497248,657.9313869680592,0,75.51287844567234,50.6927703944076,1.0,0.0,0.0,0
11442,566555.2818352467,7495379.205256668,636.5090491641915,0,120.39500809300625,61.03156341808426,1.0,0.0,0.0,0
11442,573867.0487775971,7488433.657374351,657.9313869680592,0,,90.0,,0.0,0.0,1
11442,574822.4679662468,7489153.913448181,675.9790631847706,0,,90.0,,0.0,0.0,1
11442,575278.8362543035,7489390.163418975,706.6346490503133,0,,90.0,,0.0,0.0,1
11442,575219.4443037407,7489795.9289885955,708.5232805757576,0,,90.0,,0.0,0.0,1
11442,575023.6177845417,7490073.195643491,688.9208623284259,0,,90.0,,0.0,0.0,1
11442,574500.2493915524,7490462.100123316,718.497613893797,0,,90.0,,0.0,0.0,1
11442,571997.6716100641,7492286.930716676,707.0234283143608,0,,90.0,,0.0,0.0,1
11442,568200.2496274125,7494725.537459468,671.3811814324263,0,,90.0,,0.0,0.0,1
11442,566568.128219136,7495430.065163078,636.5090491641915,0,,90.0,,0.0,0.0,1
