eventId,easting,northing,altitude,type,dipDir,dip,dipPolarity,val,displacement,posOnly
2235,518101.53292927047,7494504.919088409,420.0825585979116,0,52.52090791804787,90.0,1.0,0.0,0.0,0
2235,525282.6858401188,7483346.4307760475,420.0825585979116,0,52.52090791804787,90.0,1.0,0.0,0.0,0
2235,512929.62729528325,7499469.684335866,551.3170318230653,0,52.52090791804787,90.0,1.0,0.0,0.0,0
2235,525370.2023720326,7483418.545200402,420.0825585979116,0,,,,0.0,0.0,1
2235,522816.6476935785,7486209.197102825,469.1703389234175,0,,,,0.0,0.0,1
2235,521210.89324581024,7489100.719731484,515.1286857839648,0,,,,0.0,0.0,1
2235,518874.794033162,7493581.080112612,513.5177838397801,0,,,,0.0,0.0,1
2235,518093.30901942565,7494446.859200403,527.412566838728,0,,,,0.0,0.0,1
2235,516760.82966890023,7495781.014398056,533.4191887633333,0,,,,0.0,0.0,1
2235,515007.89801717526,7497730.985366248,540.5751251379415,0,,,,0.0,0.0,1
2235,514378.29614845244,7498248.282714813,584.5373311093429,0,,,,0.0,0.0,1
2235,513004.2350184195,7499484.692915874,551.3170318230653,0,,,,0.0,0.0,1
