collarId,depth,angle1,angle2,unit
125471,0,88.91729388243468,-61.15805503367408,
125471,40,89.9734573602584,-61.02381932168649,
125472,0,89.66050441352016,-61.74308764729838,
125472,40,89.99356174556084,-62.225516352374804,
125473,0,89.72138781737956,-61.12786959806964,
125473,40,89.23608372716099,-62.4524949530738,
125474,0,88.8328882482568,-60.735208961594424,
125474,47,89.39059604571679,-60.690303489035244,
125475,0,88.86453908984251,-61.95093794798115,
125475,41,89.91998036835878,-60.521311006510096,
125476,0,88.60979927556019,-60.30345667260029,
125476,40,88.92075392357172,-61.61148028220627,
125477,0,89.89321751434544,-60.79257396850202,
125477,35,89.28555557924837,-61.8080385395682,
125478,0,88.89791991916412,-61.47626981079974,
125478,40,88.97209285192216,-60.709765347294535,
125479,0,89.75013219321345,-61.793056588858086,
125479,40,89.58567966333787,-61.79402809300629,
125480,0,88.65764190697936,-60.686217855258064,
125480,40,88.85496283561885,-61.81078562625008,
125481,0,88.73069920396739,-62.256524220081104,
125481,28,89.80671675642765,-60.25119926175052,
125482,0,89.50048828289071,-61.19390429336484,
125482,40,89.47288461342814,-62.4824185113044,
125483,0,89.24344757254117,-61.41499374152608,
125483,41,89.9960158836379,-60.84434214505295,
125484,0,89.71200778032421,-60.98804795009285,
125484,59,88.88629880189418,-61.35182864442414,
125485,0,88.58564037720045,-61.400485229572865,
125485,50,89.0300952449217,-60.35056709844813,
125486,0,89.26260036164344,-60.96408353026254,
125486,53,89.01291693566793,-60.04941995883606,
125487,0,89.08618570022904,-61.55205460667566,
125487,53,89.4644415896224,-61.09749571514098,
125488,0,89.30886742810772,-60.3092558951458,
125488,47,89.56758092774173,-60.69292691378998,
125489,0,88.89617668291679,-61.31211931679009,
125489,59,89.32504534624556,-60.34960166142276,
125490,0,89.84807589022827,-60.340926926878566,
125490,29,89.9780509550301,-62.20309846662096,
125491,0,0.0,0.0,
125491,47,0.0,0.0,
125492,0,0.0,0.0,
125492,35,0.0,0.0,
129019,0,0.0,0.0,
129019,44,89.42159134751482,-61.0922547953229,
129020,0,89.22415320660613,-62.35620343923824,
129020,31,88.95127763629499,-61.73432913256531,
129021,0,89.428873403543,-60.08842737296883,
129021,42,89.63512381608874,-61.93338139739092,
129022,0,89.3859617894835,-61.17218421417026,
129022,50,89.55704455121713,-62.16860785345199,
