collarId,fromX,fromY,fromZ,layerId,toX,toY,toZ,from,to,propertyCode,property1,property2,unit
125471,,0.0,0.0,0,,,0.0,-0.21118127379101664,5.985998915746574,b'nan',b'nan',b'nan',b'nan'
125471,,0.0,0.0,0,,,0.0,5.906926578759403,7.656857661867217,b'nan',b'nan',b'nan',b'nan'
