layerId,easting,northing,altitude,type
4,503870.27827048674,7469467.11931792,355.53849499008106,0
4,504872.9598396626,7469367.185899089,365.1152132911402,0
4,505100.07864707144,7469203.875643714,394.7323790193305,0
4,505403.52210600197,7469063.131840218,427.2518709734509,0
4,505872.2249910793,7468998.774331842,428.3757521929663,0
4,506326.3205240221,7468872.551950301,435.08539518213126,0
4,506626.8008850857,7468690.505617833,433.4080216320223,0
4,506936.2523936865,7468601.913591698,440.5793930158394,0
4,507269.176963774,7468319.611371593,487.7854791731066,0
4,507419.21790241875,7468141.632075805,538.6629353101723,0
4,507458.5033523246,7467882.137858227,516.1292015077951,0
4,507291.52886795474,7467561.306947907,474.5461085547857,0
4,506907.47478820337,7467373.127734346,429.66545925002026,0
4,506382.5369356301,7467297.041231893,428.1157689639393,0
4,505837.61208220356,7467275.549381872,413.2619227964181,0
4,505752.94865599216,7467270.751193972,406.711668921851,0
4,505631.22664193506,7467333.3097232,410.7287411658975,0
4,505155.60535377,7467268.304214823,395.5566474128116,0
4,504764.03062363074,7467189.907434062,403.5131122655421,0
4,504212.90226416267,7467177.217932301,425.05907886860473,0
4,503408.80869993445,7467278.580255763,392.33412997225855,0
4,502761.2704287634,7467359.607420204,399.4776673266755,0
4,502567.0071919654,7467560.756075393,442.4636320910964,0
4,502290.17578971555,7467583.62039844,454.0895828370085,0
4,501448.4415772912,7467816.232840229,422.2998522358196,0
4,500824.3467818317,7468113.466335997,448.6701647597057,0
4,500516.113780958,7468400.735646814,466.50087153863024,0
4,500634.5794794745,7468152.520392641,458.0016341388032,0
4,500594.4008061951,7468145.196093798,455.9340702645432,0
4,500128.2858745164,7468342.875189778,494.5165890495099,0
4,500078.2201688959,7468337.363424117,504.36326939370826,0
4,500031.0903192013,7469849.531193436,414.8812483351065,0
4,500302.0412068929,7469870.418908683,400.9615878135302,0
4,500441.91435754526,7469652.437923104,401.5138942092597,0
4,500573.57706391887,7469825.612311724,391.8425558653544,0
4,500830.60766262055,7469866.172862158,390.543508445438,0
4,500988.05594609457,7469852.654491803,393.85585132206097,0
4,501283.3816318915,7469644.020914311,403.85785046757934,0
4,501478.34960302507,7469747.581886388,388.0054450479832,0
4,501763.2207780974,7469706.457143499,384.37357088105534,0
4,502025.885932154,7469661.185675008,377.51423673532025,0
4,502498.96777832636,7469563.222951949,369.9593685646893,0
4,502804.75916969293,7469640.096942756,363.4364036455663,0
4,503198.9930113618,7469521.598561086,361.2678435032816,0
4,503544.6682844325,7469385.031722755,369.3453431392204,0
4,503814.898979765,7469301.073876213,382.002142755275,0
4,503988.7406505879,7469324.406794501,379.3700876594693,0
4,503821.2621810452,7469452.111204582,356.25297364559884,0
13,510340.1892547676,7508398.296232764,546.1444108034291,0
13,514014.6871866987,7508910.876185899,547.5068355857303,0
13,516890.0207347681,7509232.646957338,588.4261429578555,0
13,517405.3421310083,7509448.675840041,586.6529282799601,0
11,513662.0719089741,7500811.48748944,514.7877868732661,0
11,513570.8191054001,7500763.183850737,516.9518468600836,0
11,511449.69138639537,7499542.023980984,531.416884648039,0
9,513613.753138563,7501527.625284736,504.5481672134776,0
9,513357.9596276751,7501359.873443107,506.6752539017912,0
9,517351.8857704213,7501901.785544162,521.166098999862,0
9,515655.55350708764,7501749.195407795,508.30393393146056,0
9,514053.42134697107,7501810.788950546,503.32097184738086,0
9,513747.3310902367,7501706.187518574,503.8591213329679,0
6,500899.09041650716,7467738.535685347,419.8345166272522,0
6,500344.4577515822,7467817.423384217,405.4249754385263,0
6,500347.6471979391,7467679.7330647055,392.6791719613087,0
6,500006.03521863325,7467694.296921258,411.8112606274166,0
6,500892.8534072252,7467770.916808311,424.2803732310487,0
6,500926.02553032705,7466978.554822537,335.8226480912589,0
6,500532.1370113631,7466617.180734963,328.505602250198,0
6,500448.3898726306,7466670.366177757,335.1753118425346,0
6,500177.5007459985,7466939.31229362,351.9033592783726,0
6,506227.12152567867,7466802.14887166,370.07023639376456,0
6,505404.4407556515,7466890.667637967,362.336882196422,0
6,504611.5400166339,7466910.934590188,362.1893276302121,0
6,504020.39053059433,7466973.380212941,373.1425395109992,0
6,504109.4246553443,7466790.989960772,355.0136105241653,0
6,503847.6648985943,7466639.23171394,342.36633798861465,0
6,503402.9971338244,7466603.446069173,340.3574040080716,0
6,501715.1160588947,7466475.095665886,317.3956786181916,0
6,501598.674776528,7466539.015450747,316.91778322190385,0
6,506561.2107390125,7467169.829397741,407.9567257011255,0
6,506275.29270652775,7466895.282406952,374.85617963310864,0
13,500952.49302845635,7510307.541207145,606.7234116689909,0
13,504722.3492394817,7509143.763371658,595.1193459949777,0
13,506123.363877208,7509415.337234827,651.0136535485403,0
13,506947.11359395954,7509147.403024166,679.2613989648844,0
13,509476.1691708873,7508993.567591331,575.2376199692209,0
13,509760.9420600492,7508933.152045802,557.2843909691168,0
13,500028.98896725144,7510586.264523762,606.2853961718256,0
16,511513.9327467934,7511826.062297657,546.0679522691363,0
16,513862.1283571273,7512113.094909301,549.9857730897631,0
16,514887.3365825291,7512368.1040498195,547.1180284107937,0
16,516852.3360666398,7512946.049792156,551.8754510301445,0
16,517451.0265140011,7513313.0033268845,558.8349376154063,0
13,500319.93672766996,7486506.083176044,565.3750906652259,0
13,500098.50501392153,7484405.972322058,574.8408542946837,0
13,501980.240415406,7488307.678335637,636.1231004187972,0
13,501578.6787217267,7488162.279841608,680.8645490440331,0
13,500645.86059015314,7487021.841307223,552.0387879000716,0
13,500487.4149725487,7486808.545302543,544.1927793418627,0
11,504858.7008823594,7494615.7385243075,584.7245078274121,0
11,504061.8612967759,7494721.201394143,550.9264811312939,0
11,503282.90943845705,7494674.545905633,529.7993363600309,0
11,502701.3730206661,7494196.061943869,539.2762992394561,0
14,502498.50660419976,7487641.971677877,565.827838561924,0
14,501703.4713092131,7487291.702967106,568.2787717500087,0
14,500905.1124840586,7486132.896785442,541.0729606723971,0
14,500792.39583279775,7485903.580698616,552.5284427522796,0
14,500385.1228070534,7483750.982953463,601.5260789369491,0
14,500182.78120227956,7482761.045808398,614.3253369423855,0
14,500200.72956112487,7482737.407584919,613.7944296130676,0
15,502880.4625487223,7487191.607898056,525.0443651664484,0
15,501633.3829456148,7485418.425166173,578.0807112722696,0
15,501292.6229625492,7484583.978554008,584.1819527396436,0
15,501060.2286287365,7483481.501926532,627.6055450418614,0
15,500660.5808830543,7482557.210073515,627.9342788345543,0
6,500217.9501269226,7470054.95485794,385.9842355162588,0
6,500276.3640582132,7470043.758373759,386.90267784868297,0
6,500326.40692216746,7469951.296024351,389.63239819791175,0
6,500003.39857039973,7470102.255403379,387.9407238235633,0
15,503427.9104238742,7476274.284238512,511.8060468159198,0
15,505082.2575309999,7475727.460363767,451.2882580566843,0
15,505524.73772836727,7475424.353402803,439.5765318797245,0
15,506491.84602448996,7474878.963679615,456.1049394821511,0
12,525414.455406275,7541428.12670143,709.9144705335788,0
12,523971.5833666627,7542759.356963554,749.8858715035506,0
12,521878.272708113,7543232.608003658,687.2650677155508,0
12,520727.54080249293,7543522.781426824,679.9912513317399,0
12,521190.0940518345,7542985.757674712,684.2291791522507,0
12,523395.5249327251,7542153.557929049,838.5986668774851,0
12,524756.8663899619,7541151.955412434,744.7280245811114,0
12,525149.5305330204,7541214.73652711,725.9497540604352,0
12,556490.728900095,7555873.143025975,507.0680365382453,0
12,556184.2196501109,7556746.071395542,496.0161231392007,0
12,555254.2237649584,7555710.794926104,506.599482890875,0
12,553924.0754711227,7555457.317912605,514.7254115015895,0
12,552741.3504931692,7555062.8566384,520.5092594006734,0
12,553715.9311792941,7553301.888731732,529.8596153854672,0
12,554014.7443017339,7553258.9618597925,532.2942289828999,0
12,554019.8402737685,7554101.413767735,551.709426559233,0
12,554283.4855011257,7554676.917270158,543.2583521923087,0
12,555491.0975299577,7554691.786245268,521.8955113757919,0
12,555914.7719949625,7553889.895003881,656.5127751693656,0
12,556581.9781594804,7554895.504863692,524.2346091230565,0
12,556466.7474745578,7555699.520826354,512.3599337447771,0
12,560795.8009348237,7544002.52356292,842.7379687303168,0
12,558143.635896859,7545573.531659325,625.9258350204667,0
12,555637.9833049295,7546441.630921686,587.2395045017281,0
12,555401.7433667238,7546104.644854311,589.1294108347192,0
12,556464.9287993354,7545653.63187367,597.7781474631239,0
12,558011.1653231382,7544732.442747283,655.9923157879006,0
12,560830.4347280281,7543716.415057126,830.9518064770039,0
12,567342.8205861575,7539356.163018324,703.7420138141608,0
12,564220.2381452953,7541794.79459131,837.4264060629446,0
12,563274.926880545,7542322.42948436,846.1227469511766,0
12,561335.5884529017,7542765.335351957,745.7696737542665,0
12,561997.4588202413,7541955.745737302,945.2700032587642,0
12,564105.8957372978,7541149.583451026,781.4762455296802,0
12,567271.8370199775,7538866.522930445,631.09955155187,0
12,567567.2013737169,7539016.450178798,646.719908325713,0
12,584511.611936048,7555796.136722494,565.7475891412521,0
12,582823.3370701346,7557278.760352972,580.8751224095663,0
12,581835.6839545517,7557291.458056971,585.9058694355846,0
12,581693.9836144662,7557125.2261032425,584.1664311509027,0
12,582939.7985982792,7556146.932220057,579.8910067755805,0
12,584413.8160214436,7555451.452916858,569.9365345154774,0
12,584679.2185822724,7555601.962524577,558.5418297542435,0
12,576178.3938334624,7567968.488108576,600.6206559383036,0
12,576977.1869160845,7567771.330050342,625.0435447217116,0
12,577548.4382425493,7567677.092499474,624.9191536425592,0
12,577540.6092038326,7567577.968793759,625.9260332396972,0
12,578078.402744932,7567513.659356183,622.36879277142,0
12,579126.5155999622,7567485.0240560165,592.290730684699,0
12,579645.738468827,7567900.457844005,571.154030079328,0
12,554282.6057385036,7567852.277525296,559.9897963331815,0
12,554945.9941230501,7566801.09687544,603.7624618809449,0
12,552907.8166859136,7566461.087253652,581.0219147702254,0
12,552058.8798041578,7567039.233677493,580.258767865533,0
