layerId,easting,northing,altitude,type
4,503945.7308471464,7469519.92491184,355.53849499008106,0
4,504805.89355332236,7469367.996528421,365.1152132911402,0
4,505096.6770405006,7469263.92829854,394.7323790193305,0
4,505384.3238501353,7469050.533938221,427.2518709734509,0
4,505901.30315693707,7469008.904512632,428.3757521929663,0
4,506353.8500850064,7468886.549011766,435.08539518213126,0
4,506652.85851673916,7468689.204523018,433.4080216320223,0
4,506949.67197293905,7468590.475467294,440.5793930158394,0
4,507223.3541328077,7468352.091542437,487.7854791731066,0
4,507394.3881428529,7468162.91924182,538.6629353101723,0
4,507459.8852680556,7467900.057223586,516.1292015077951,0
4,507301.8521931436,7467494.208712244,474.5461085547857,0
4,506846.0640496761,7467378.190125678,429.66545925002026,0
4,506367.95400752506,7467304.75715322,428.1157689639393,0
4,505775.539034001,7467251.273804042,413.2619227964181,0
4,505715.74448769074,7467271.489017025,406.711668921851,0
4,505657.1624080984,7467284.140781555,410.7287411658975,0
4,505218.87182056764,7467186.990530821,395.5566474128116,0
4,504695.5640065672,7467221.501231329,403.5131122655421,0
4,504165.52723084827,7467188.967051787,425.05907886860473,0
4,503483.5474762317,7467275.787704445,392.33412997225855,0
4,502782.74225184065,7467403.53148595,399.4776673266755,0
4,502567.83975502587,7467623.76564934,442.4636320910964,0
4,502332.57990220055,7467626.249301134,454.0895828370085,0
4,501493.4851390342,7467803.832532518,422.2998522358196,0
4,500828.86502408725,7468133.60877178,448.6701647597057,0
4,500486.22559869604,7468400.2374854805,466.50087153863024,0
4,500631.01219688583,7468201.120609077,458.0016341388032,0
4,500593.47956655634,7468119.026123904,455.9340702645432,0
4,500147.5263299125,7468295.797769845,494.5165890495099,0
4,500046.4413526409,7468324.488313691,504.36326939370826,0
4,500027.91086738824,7469805.6363858,414.8812483351065,0
4,500295.0513930635,7469881.499086479,400.9615878135302,0
4,500406.0747736186,7469678.360189683,401.5138942092597,0
4,500650.30760021217,7469834.596939417,391.8425558653544,0
4,500841.29484638124,7469899.811669665,390.543508445438,0
4,501060.84281894914,7469863.185342768,393.85585132206097,0
4,501234.80966619554,7469695.524662496,403.85785046757934,0
4,501482.5027740103,7469773.814271785,388.0054450479832,0
4,501824.2034298608,7469708.653877221,384.37357088105534,0
4,502102.0302142288,7469649.137208549,377.51423673532025,0
4,502520.4163954532,7469572.372262964,369.9593685646893,0
4,502868.2927305565,7469651.707457804,363.4364036455663,0
4,503238.10655505274,7469613.494369206,361.2678435032816,0
4,503575.86343751504,7469367.555732269,369.3453431392204,0
4,503847.1913111045,7469316.7293720655,382.002142755275,0
4,503932.7115384013,7469338.79907791,379.3700876594693,0
4,503823.04880737746,7469526.803141949,356.25297364559884,0
13,510382.3932068735,7508369.7778015975,546.1444108034291,0
13,514014.5637119481,7508873.838931621,547.5068355857303,0
13,516921.7814139869,7509286.155721319,588.4261429578555,0
13,517347.9518651499,7509462.230432413,586.6529282799601,0
11,513744.22187628975,7500848.3849189645,514.7877868732661,0
11,513554.9928311949,7500713.910707318,516.9518468600836,0
11,511497.97732419503,7499530.801690258,531.416884648039,0
9,513583.8600316818,7501534.15198919,504.5481672134776,0
9,513345.7452842597,7501339.316669552,506.6752539017912,0
9,517306.87906922254,7501976.110205543,521.166098999862,0
9,515710.29385167523,7501790.9967367295,508.30393393146056,0
9,514002.4148669376,7501766.139940708,503.32097184738086,0
9,513773.24031338515,7501664.795915029,503.8591213329679,0
6,500829.82672813983,7467738.366658299,419.8345166272522,0
6,500390.9768037549,7467796.888667046,405.4249754385263,0
6,500305.3597183005,7467742.092349042,392.6791719613087,0
6,500078.63478368655,7467701.982660189,411.8112606274166,0
6,500941.26085077034,7467821.3248426365,424.2803732310487,0
6,500962.17832941696,7467029.099127492,335.8226480912589,0
6,500612.05940238584,7466678.211730953,328.505602250198,0
6,500456.8518453971,7466644.264721303,335.1753118425346,0
6,500168.9299927154,7466902.519929158,351.9033592783726,0
6,506263.8816652625,7466826.427793837,370.07023639376456,0
6,505333.354919855,7466932.372256952,362.336882196422,0
6,504590.4817314643,7466905.568761194,362.1893276302121,0
6,504056.46885089047,7466987.4772602795,373.1425395109992,0
6,504108.978673436,7466829.208311827,355.0136105241653,0
6,503889.13383382803,7466568.439586855,342.36633798861465,0
6,503400.03626391955,7466666.276761926,340.3574040080716,0
6,501723.93154636235,7466504.300225739,317.3956786181916,0
6,501611.32276570675,7466480.372637631,316.91778322190385,0
6,506566.8658147957,7467165.721703982,407.9567257011255,0
6,506324.2475185716,7466921.168132996,374.85617963310864,0
13,500916.7595467559,7510318.240422315,606.7234116689909,0
13,504755.38024594274,7509083.711384172,595.1193459949777,0
13,506183.40804418444,7509441.813430606,651.0136535485403,0
13,506984.3697792422,7509172.233851707,679.2613989648844,0
13,509411.84533934173,7509002.189670945,575.2376199692209,0
13,509751.9846238899,7508939.507587744,557.2843909691168,0
13,500066.8839452437,7510535.46912797,606.2853961718256,0
16,511518.631606484,7511903.4571372755,546.0679522691363,0
16,513828.7503473928,7512035.722343629,549.9857730897631,0
16,514841.0950412708,7512406.033662923,547.1180284107937,0
16,516949.7344666067,7512932.452896757,551.8754510301445,0
16,517446.6169500591,7513306.107329761,558.8349376154063,0
13,500317.9281258621,7486442.088456083,565.3750906652259,0
13,500089.3157247228,7484389.544684629,574.8408542946837,0
13,501945.03154067363,7488382.677199594,636.1231004187972,0
13,501549.44980540837,7488108.259495054,680.8645490440331,0
13,500577.5804683077,7486972.69221921,552.0387879000716,0
13,500463.9209849411,7486827.754508625,544.1927793418627,0
11,504811.50770526496,7494617.07981617,584.7245078274121,0
11,504012.94477124506,7494683.05684266,550.9264811312939,0
11,503280.6835776953,7494591.068589505,529.7993363600309,0
11,502662.6292671112,7494232.640637258,539.2762992394561,0
14,502501.73922485835,7487666.317439216,565.827838561924,0
14,501635.8434248321,7487249.087251675,568.2787717500087,0
14,500931.9804437665,7486156.045206747,541.0729606723971,0
14,500823.76389991597,7485926.264635366,552.5284427522796,0
14,500377.1776440145,7483706.762219236,601.5260789369491,0
14,500247.32192845445,7482715.229084578,614.3253369423855,0
14,500216.32836130145,7482664.52063646,613.7944296130676,0
15,502913.302983759,7487143.059058022,525.0443651664484,0
15,501581.722546821,7485460.89140599,578.0807112722696,0
15,501279.7008833775,7484535.915741111,584.1819527396436,0
15,501129.1960478531,7483490.999771025,627.6055450418614,0
15,500674.19926333165,7482465.590228556,627.9342788345543,0
6,500169.24169419555,7470032.921485763,385.9842355162588,0
6,500240.4754754974,7470019.810461857,386.90267784868297,0
6,500316.5248490397,7469992.800927939,389.63239819791175,0
6,500029.2510347685,7470103.408078875,387.9407238235633,0
15,503380.53394784284,7476243.381448873,511.8060468159198,0
15,505068.8088013819,7475639.830899396,451.2882580566843,0
15,505431.61564245255,7475389.703243883,439.5765318797245,0
15,506519.7153045428,7474894.178985624,456.1049394821511,0
12,525428.975400129,7541431.229003934,709.9144705335788,0
12,523930.69555324235,7542777.508992458,749.8858715035506,0
12,521844.8156337282,7543189.36488594,687.2650677155508,0
12,520785.1481358175,7543519.628766253,679.9912513317399,0
12,521216.0802494441,7542990.284408984,684.2291791522507,0
12,523418.5426747722,7542125.760790237,838.5986668774851,0
12,524749.0233932497,7541161.0415494945,744.7280245811114,0
12,525128.506199176,7541192.84286673,725.9497540604352,0
12,556470.3122528722,7555923.707802118,507.0680365382453,0
12,556166.3948986526,7556756.290677354,496.0161231392007,0
12,555214.3461173689,7555698.767499256,506.599482890875,0
12,553879.723132012,7555450.780713369,514.7254115015895,0
12,552767.2960401424,7555092.394060294,520.5092594006734,0
12,553722.192231493,7553260.340672473,529.8596153854672,0
12,554016.4013674228,7553322.265315607,532.2942289828999,0
12,553944.5420907553,7554023.965231286,551.709426559233,0
12,554243.4101910673,7554693.588140707,543.2583521923087,0
12,555502.3470961433,7554693.377588233,521.8955113757919,0
12,555933.5464253289,7553922.465691841,656.5127751693656,0
12,556543.5713423715,7554950.798865597,524.2346091230565,0
12,556551.9146135154,7555637.488432766,512.3599337447771,0
12,560851.9675770466,7544026.571380025,842.7379687303168,0
12,558073.8935334267,7545575.752688847,625.9258350204667,0
12,555582.3606564448,7546470.682690322,587.2395045017281,0
12,555408.5277510646,7546154.601278348,589.1294108347192,0
12,556390.9486008978,7545602.256887004,597.7781474631239,0
12,557951.5070821404,7544686.721445772,655.9923157879006,0
12,560813.0020807034,7543723.287994364,830.9518064770039,0
12,567349.4717200743,7539423.59165157,703.7420138141608,0
12,564197.7093105566,7541813.693147197,837.4264060629446,0
12,563245.4543492079,7542336.964765294,846.1227469511766,0
12,561332.866055722,7542782.350563944,745.7696737542665,0
12,561984.4154960007,7541983.441086572,945.2700032587642,0
12,564128.8332537191,7541076.300253917,781.4762455296802,0
12,567285.4574336949,7538838.784681303,631.09955155187,0
12,567559.8572359321,7539045.1915323725,646.719908325713,0
12,584500.9964451062,7555805.350801853,565.7475891412521,0
12,582856.4212052331,7557260.6696827635,580.8751224095663,0
12,581840.7054383334,7557259.45822771,585.9058694355846,0
12,581717.1699907556,7557202.880083786,584.1664311509027,0
12,582954.1601468155,7556193.401392405,579.8910067755805,0
12,584422.8088919343,7555441.752115638,569.9365345154774,0
12,584630.8995509931,7555579.354644088,558.5418297542435,0
12,576195.4587902571,7567878.7933730455,600.6206559383036,0
