layerId,easting,northing,altitude,type
4,503947.60294069943,7469495.581597793,355.53849499008106,0
4,504819.323257405,7469365.088705685,365.1152132911402,0
4,505094.025335359,7469238.485065777,394.7323790193305,0
4,505389.6149488649,7469039.625958096,427.2518709734509,0
4,505883.8120698126,7468988.060240745,428.3757521929663,0
4,506272.81596211466,7468849.913856579,435.08539518213126,0
4,506644.66782381345,7468659.0084580155,433.4080216320223,0
4,507002.47288194613,7468538.069024755,440.5793930158394,0
4,507272.7809565772,7468384.122347645,487.7854791731066,0
4,507440.2381277148,7468105.633056484,538.6629353101723,0
4,507443.44175839494,7467862.366973984,516.1292015077951,0
4,507334.8201074115,7467543.346075608,474.5461085547857,0
4,506845.12470490386,7467350.973736987,429.66545925002026,0
4,506370.3236504404,7467259.76301915,428.1157689639393,0
4,505850.83460507327,7467238.345597424,413.2619227964181,0
4,505677.665496308,7467260.8339151405,406.711668921851,0
4,505671.76887608063,7467271.894065694,410.7287411658975,0
4,505245.8293417661,7467282.438596298,395.5566474128116,0
4,504726.5222002803,7467177.926463043,403.5131122655421,0
4,504241.36407142703,7467265.387457413,425.05907886860473,0
4,503441.36839408387,7467299.68219813,392.33412997225855,0
4,502775.8741968273,7467362.683015645,399.4776673266755,0
4,502573.46766475873,7467548.747813741,442.4636320910964,0
4,502307.51038244687,7467664.797028726,454.0895828370085,0
4,501444.94031620596,7467885.542726479,422.2998522358196,0
4,500827.3963425287,7468103.445664672,448.6701647597057,0
4,500507.76432030916,7468394.9766358705,466.50087153863024,0
4,500637.80448868324,7468188.449720919,458.0016341388032,0
4,500560.6833792197,7468188.373286722,455.9340702645432,0
4,500149.771150945,7468267.65210242,494.5165890495099,0
4,500031.32148879184,7468308.521098669,504.36326939370826,0
4,500024.45623273734,7469826.186108928,414.8812483351065,0
4,500250.12603805313,7469891.951865404,400.9615878135302,0
4,500482.616247573,7469599.8332600845,401.5138942092597,0
4,500597.6652832044,7469819.956942197,391.8425558653544,0
4,500799.06485454703,7469892.517254495,390.543508445438,0
4,501051.8528212476,7469789.202020221,393.85585132206097,0
4,501255.2310468832,7469621.358782011,403.85785046757934,0
4,501546.8093787446,7469723.2497577,388.0054450479832,0
4,501729.8426648134,7469720.108739152,384.37357088105534,0
4,502077.4346709323,7469675.104358771,377.51423673532025,0
4,502512.1554579895,7469648.460824837,369.9593685646893,0
4,502842.3711465114,7469631.93119703,363.4364036455663,0
4,503233.8373976943,7469529.262954908,361.2678435032816,0
4,503547.031320902,7469433.921433691,369.3453431392204,0
4,503857.1531170776,7469357.068321975,382.002142755275,0
4,503958.5936004866,7469329.5374219725,379.3700876594693,0
4,503838.3781929819,7469492.191714931,356.25297364559884,0
13,510375.0369273804,7508331.367039483,546.1444108034291,0
13,514033.0644371735,7508921.820457497,547.5068355857303,0
13,516880.13399811124,7509233.920037477,588.4261429578555,0
13,517326.27700016124,7509419.9491896555,586.6529282799601,0
11,513676.45741588133,7500830.885971954,514.7877868732661,0
11,513548.891304707,7500693.389747378,516.9518468600836,0
11,511542.7526495007,7499615.095341039,531.416884648039,0
9,513613.03756445396,7501560.374922673,504.5481672134776,0
9,513338.01492288924,7501355.734916008,506.6752539017912,0
9,517364.7641721955,7501947.297525429,521.166098999862,0
9,515674.72466002847,7501752.990947823,508.30393393146056,0
9,514013.1513395609,7501802.95943413,503.32097184738086,0
9,513796.7630597366,7501655.565022265,503.8591213329679,0
6,500871.26982417476,7467737.0556228515,419.8345166272522,0
6,500374.0595910716,7467805.874228746,405.4249754385263,0
6,500342.80688915215,7467647.982047228,392.6791719613087,0
6,500083.8464848835,7467673.8821957335,411.8112606274166,0
6,500923.73103323684,7467832.739980289,424.2803732310487,0
6,501004.4226655821,7467024.018861252,335.8226480912589,0
6,500580.1787151922,7466647.9877904635,328.505602250198,0
6,500500.62128446,7466637.291563971,335.1753118425346,0
6,500190.2096965565,7466964.303744062,351.9033592783726,0
6,506246.6041799383,7466817.234287703,370.07023639376456,0
6,505355.28166277765,7466976.1186494185,362.336882196422,0
6,504603.21300030546,7466928.162817453,362.1893276302121,0
6,504023.2319576755,7467022.623498984,373.1425395109992,0
6,504070.5983374663,7466842.632053468,355.0136105241653,0
6,503936.72542207665,7466634.846465897,342.36633798861465,0
6,503434.0918722542,7466604.089912063,340.3574040080716,0
6,501671.30819177855,7466522.663852741,317.3956786181916,0
6,501670.40791890776,7466490.097164599,316.91778322190385,0
6,506513.71105624654,7467163.890067941,407.9567257011255,0
6,506249.76030070515,7466878.194479265,374.85617963310864,0
13,500920.77859792014,7510346.9872347135,606.7234116689909,0
13,504756.86234467005,7509105.806239887,595.1193459949777,0
13,506134.8361544725,7509446.937774578,651.0136535485403,0
13,506972.5186022359,7509097.078431124,679.2613989648844,0
13,509460.3880278693,7509001.669435709,575.2376199692209,0
13,509715.579038052,7508992.992054511,557.2843909691168,0
13,500064.53737695556,7510535.947498339,606.2853961718256,0
16,511523.6434954956,7511916.735603337,546.0679522691363,0
16,513807.5956403618,7512106.182779384,549.9857730897631,0
16,514836.6800970026,7512359.126121858,547.1180284107937,0
16,516892.81013163767,7512959.4701887015,551.8754510301445,0
16,517480.99443927116,7513305.371720944,558.8349376154063,0
13,500307.16946998105,7486457.783674959,565.3750906652259,0
13,500005.0837698852,7484357.764042754,574.8408542946837,0
13,501971.80747891875,7488345.12273216,636.1231004187972,0
13,501630.3275042056,7488101.64349844,680.8645490440331,0
13,500616.2504475766,7487025.5652022455,552.0387879000716,0
13,500464.64974876144,7486870.355208479,544.1927793418627,0
11,504817.5115515623,7494632.001959392,584.7245078274121,0
11,504090.44152498734,7494682.643897244,550.9264811312939,0
11,503231.2897507062,7494616.557183214,529.7993363600309,0
11,502712.44108909223,7494244.285528477,539.2762992394561,0
14,502527.8223336086,7487632.913409093,565.827838561924,0
14,501610.3675316744,7487266.012096132,568.2787717500087,0
14,500982.4406221012,7486174.175600629,541.0729606723971,0
14,500750.72942173644,7485890.972422923,552.5284427522796,0
14,500462.3757067978,7483685.900433789,601.5260789369491,0
14,500176.6115993382,7482736.355851746,614.3253369423855,0
14,500222.4822747746,7482702.15438435,613.7944296130676,0
15,502886.4311668411,7487225.737172465,525.0443651664484,0
15,501595.5004890279,7485408.963873808,578.0807112722696,0
15,501290.06121927884,7484628.387781447,584.1819527396436,0
15,501090.45235787093,7483552.353166768,627.6055450418614,0
15,500668.75850502396,7482498.682073791,627.9342788345543,0
6,500148.0046552421,7470099.00194923,385.9842355162588,0
6,500230.5315652366,7470077.566100645,386.90267784868297,0
6,500361.8413673804,7469930.537544466,389.63239819791175,0
6,500032.8404268062,7470107.145592506,387.9407238235633,0
15,503392.6079540636,7476273.418340648,511.8060468159198,0
15,505097.198927212,7475686.33168789,451.2882580566843,0
15,505468.2593498473,7475415.280881169,439.5765318797245,0
15,506520.2232412992,7474889.934333097,456.1049394821511,0
12,525433.3340715586,7541433.311459418,709.9144705335788,0
12,523932.74855190964,7542764.62897285,749.8858715035506,0
12,521829.885576165,7543200.722358767,687.2650677155508,0
12,520729.96440303564,7543482.450255819,679.9912513317399,0
12,521240.3803405541,7542964.034265644,684.2291791522507,0
12,523364.73980855104,7542095.802651322,838.5986668774851,0
12,524773.8503086613,7541232.487229975,744.7280245811114,0
12,525100.5637234085,7541201.444859186,725.9497540604352,0
12,556499.8771637888,7555945.507064387,507.0680365382453,0
12,556179.6659540111,7556693.8866874855,496.0161231392007,0
12,555171.6902014404,7555671.91848587,506.599482890875,0
12,553945.9264509323,7555422.778829335,514.7254115015895,0
12,552725.4002927935,7555134.86842484,520.5092594006734,0
12,553692.2938257605,7553340.442849576,529.8596153854672,0
12,554043.4095836333,7553255.828767655,532.2942289828999,0
12,553974.1103335987,7554016.022845374,551.709426559233,0
12,554282.7028046331,7554668.455684354,543.2583521923087,0
12,555476.1851155858,7554641.667756291,521.8955113757919,0
