collarId,depth,angle1,angle2,unit
125471,0.0,89.36809654832172,-62.058067339874974,
125471,40.0,89.1898100789516,-60.829619503484324,
125472,0.0,88.59725488511815,-60.52490558544524,
125472,40.0,88.61084509960521,-60.0181694635406,
125473,0.0,89.12874071134229,-60.39429152077752,
125473,40.0,88.94747028213345,-60.67052216145094,
125474,0.0,89.11958637118566,-62.17557406340683,
125474,47.0,89.84190855255952,-62.330038687389695,
125475,0.0,89.1730871123286,-60.99257338612456,
125475,41.0,88.86346097123996,-61.65714804821125,
125476,0.0,88.62018222031679,-60.70491539432468,
125476,40.0,89.13405686014735,-60.39988053305717,
125477,0.0,89.34824938447858,-62.062785960508,
125477,35.0,88.72906470624584,-61.59819884636189,
125478,0.0,89.4801270039407,-62.03598504409901,
125478,40.0,88.91640207818043,-62.268567105670584,
125479,0.0,88.76357905142389,-60.312638197552324,
125479,40.0,88.89691810272592,-61.94669915609305,
125480,0.0,89.556396560364,-61.18422859075049,
125480,40.0,89.76101512714109,-62.02555615800467,
125481,0.0,89.25255260853602,-60.15627060836283,
125481,28.0,89.05337985552926,-61.38240524074642,
125482,0.0,88.93344201218213,-62.35745331247781,
125482,40.0,89.35381350220837,-60.47075088706546,
125483,0.0,89.8865393631451,-61.876239015948684,
125483,41.0,88.95462684761347,-62.17705454177954,
125484,0.0,88.7865258686374,-61.89052779557451,
125484,59.0,89.68046765583578,-60.49845781707324,
125485,0.0,89.55788539183389,-60.00296624482266,
125485,50.0,89.72363762946053,-61.62254906307074,
125486,0.0,89.23111362722979,-60.85827804123563,
125486,53.0,89.45263193235283,-61.912979008543914,
125487,0.0,89.29862477395285,-60.89021564753688,
125487,53.0,89.06378743253747,-61.60626288515298,
125488,0.0,89.80871424649793,-60.4181212360121,
125488,47.0,89.23030948969034,-60.07720545263288,
125489,0.0,88.5343318334111,-62.19659799207349,
125489,59.0,89.41636202305112,-60.695095396785355,
125490,0.0,88.51926932840085,-62.480923247371216,
125490,29.0,89.00098242635927,-60.660238003054125,
125491,0.0,0.0,0.0,
125491,47.0,0.0,0.0,
125492,0.0,0.0,0.0,
125492,35.0,0.0,0.0,
129019,0.0,89.97894881371805,-62.13912675793397,
129019,44.0,89.1643125507771,-61.717450133684736,
129020,0.0,89.81309432756588,-62.38883475069418,
129020,31.0,88.71366493350996,-61.804996667737434,
129021,0.0,88.63685960938673,-61.26269531405371,
129021,42.0,89.58430403129495,-60.82885220146192,
129022,0.0,89.09777721635106,-62.30521939954111,
129022,50.0,88.71346438207482,-62.30434092473696,
