collarId,depth,angle1,angle2,unit
125471,0.0,88.88251165393477,-61.44575626936591,
125471,40.0,88.58250654183088,-61.704374567930586,
125472,0.0,88.94614480111602,-62.06457646722389,
125472,40.0,88.89308707246377,-60.93002096533957,
125473,0.0,88.86569668942933,-60.23703682814514,
125473,40.0,89.56456031925738,-61.320458177963694,
125474,0.0,89.658587872144,-61.5964734458694,
125474,47.0,89.90530434540057,-60.6890145680184,
125475,0.0,89.76708737369316,-60.37367507661054,
125475,41.0,89.57123609837167,-61.96896815480769,
125476,0.0,88.97223635982935,-60.957666235467826,
125476,40.0,89.12393810877715,-60.485481029458654,
125477,0.0,89.64711644262087,-60.64055433472683,
125477,35.0,89.34631548203716,-61.620590225715745,
125478,0.0,88.74142775103515,-60.02744131081315,
125478,40.0,89.87037902176823,-62.29241987797537,
125479,0.0,89.48467860656619,-60.45818931620227,
125479,40.0,89.17247677828156,-62.16580629519925,
125480,0.0,88.5671296987829,-61.80488384845385,
125480,40.0,89.16186762553747,-60.174647774852154,
125481,0.0,88.52806036731663,-61.36855835463997,
125481,28.0,89.29892084706685,-60.142414540631464,
125482,0.0,88.61716065143463,-61.99087646914215,
125482,40.0,88.76299769428557,-60.06442131119379,
125483,0.0,88.84767048509069,-61.5213511863609,
125483,41.0,89.62194777411486,-60.36851439798183,
125484,0.0,89.16086143650438,-61.69248334501005,
125484,59.0,89.41834159724247,-60.09854800154041,
125485,0.0,88.61896075266579,-60.87836488569623,
125485,50.0,88.577357400704,-62.17630519098156,
125486,0.0,88.8256503651582,-60.08663693664115,
125486,53.0,88.78711282157231,-62.35771993411467,
125487,0.0,89.28272655485381,-60.50426750915303,
125487,53.0,88.83399807831415,-61.945966763413985,
125488,0.0,89.59135181404153,-62.360091243520976,
125488,47.0,89.18022551351534,-62.065538387091905,
125489,0.0,88.67278479863835,-61.15622945954595,
125489,59.0,88.87914251360954,-61.08891434370951,
125490,0.0,88.88095308694717,-62.00079753483569,
125490,29.0,88.98273114627887,-61.88977801388054,
125491,0.0,0.0,0.0,
125491,47.0,0.0,0.0,
125492,0.0,0.0,0.0,
125492,35.0,0.0,0.0,
129019,0.0,89.97011952191967,-61.827211651994546,
129019,44.0,89.45737966272769,-60.30626782902455,
129020,0.0,89.05982143066176,-60.52050066489394,
129020,31.0,88.55193477977312,-60.153144508318704,
129021,0.0,88.74607447419119,-60.41291174684957,
129021,42.0,88.58267449868202,-62.24726717007687,
129022,0.0,89.06652852026332,-60.62113258170292,
129022,50.0,88.79294771368988,-61.61825586805494,
