layerId,easting,northing,altitude,type,dipDir,dip,dipPolarity,layer
15,544559.0487627657,7487586.224049725,608.7664939431817,4,45.53589839847162,14.796377059729252,1.0,b's0'
15,521568.79791731114,7460694.736325404,421.1150342777274,4,34.389277165658555,351.30920751740155,1.0,b's0'
15,530178.9074359728,7460994.419859157,431.7522583215838,4,70.97890165712533,26.04478700879997,1.0,b's0'
15,512572.6087956332,7509826.55029617,556.7765273701366,4,71.30421913569695,227.58473950532493,1.0,b's0'
15,542122.9240672693,7531806.288326169,589.3019224029641,4,29.519073100816286,171.5471955489562,1.0,b's0'
15,538954.1589957692,7532314.774968408,592.7423198446039,4,15.992731625977157,284.7776809852801,1.0,b's0'
15,533577.2230297563,7532650.8550487785,623.1991556888931,4,8.68344783182954,348.5215184573447,1.0,b's0'
15,531204.4704340998,7532090.379379078,581.6293320501246,4,46.18555540894116,335.91260592855315,1.0,b's0'
15,526103.918163274,7531095.696131807,566.1422462475603,4,30.492560198034397,228.3824068896405,1.0,b's0'
15,548419.674727559,7531626.6260077795,606.8445337852386,4,10.802647316110296,40.55441167251621,1.0,b's0'
15,547479.0014988405,7531012.641603074,620.3292972217073,4,28.596004671779973,18.50916525477993,1.0,b's0'
15,546360.2414868894,7532658.3117067395,588.7693923823144,4,71.06615125379379,100.70731897594965,1.0,b's0'
15,570572.4469409453,7530716.45061178,603.0956368590178,4,41.759232055285445,53.04962058254762,1.0,b's0'
15,593075.4448019027,7529403.100992558,673.1865680026285,4,60.95118747142325,137.46260656841747,1.0,b's0'
15,503401.8044963314,7533261.020990501,521.0951396917997,4,23.089702775597587,230.86706628812135,1.0,b's0'
15,560662.8302204849,7527086.305765505,612.0245584222738,4,33.402484075161404,358.7907750357282,1.0,b's0'
15,547575.7942849352,7513644.204877847,654.8660500378727,4,49.71654748382086,314.2795864091585,1.0,b's0'
15,538814.6388573564,7532218.931810104,595.3570663561504,4,31.44155179948966,247.04180762607518,1.0,b's0'
15,538185.1472058364,7521939.041624423,600.0920794080804,4,71.82686517670638,11.117754393403061,1.0,b's0'
15,553008.129043207,7484575.018653598,517.4206535702082,4,63.06419582842815,352.9642102611892,1.0,b's0'
15,553065.0064911119,7484577.937915453,519.2034568054207,4,60.481730123228004,359.0712119963338,1.0,b's0'
