layerId,easting,northing,altitude,type,dipDir,dip,dipPolarity,layer
15,544577.8768736523,7487575.760888798,608.7664939431817,4,58.30438223241214,316.9615754166636,1.0,b's0'
18,531311.1970918145,7465743.416054179,476.7257207562103,4,78.59097135662485,272.89560386894897,1.0,b's0'
9,514449.1977866392,7462713.923863661,353.15058541283554,4,72.31110846924332,32.16880786208901,1.0,b's0'
9,514455.34124922147,7462729.492731815,353.15058541283554,4,30.20889897829432,325.3467644022945,1.0,b's0'
20,542417.2227740176,7481850.520720344,474.5055847790493,4,53.32165974839286,298.83593277078097,1.0,b's0'
20,545070.915498646,7476303.695769746,472.0933934363412,4,30.339612881045213,20.22070978793704,1.0,b's0'
18,512921.2030766564,7483063.49052829,457.0216961472013,4,8.108701101676687,125.26209927468221,1.0,b's0'
1,504901.1009621411,7461048.204482522,299.5950829498144,4,69.48113066087427,329.1711815762955,1.0,b's0'
9,510476.7240488399,7469534.278196962,339.0206679973816,4,57.846591161122745,0.5144503962530393,1.0,b's0'
8,516851.9377583538,7459365.694014381,333.2613167733067,4,19.528558419016832,262.37910888265196,1.0,b's0'
15,521556.73374652304,7460720.608090967,421.1150342777274,4,12.741281523652503,356.67590941103117,1.0,b's0'
17,518221.2834373562,7469836.071370305,403.3527375481184,4,51.99667349848676,330.5713971506167,1.0,b's0'
20,536385.2169583101,7467103.002149958,421.3124631503707,4,54.82329126755178,13.983337401914412,1.0,b's0'
0,544549.7463232166,7474581.25415343,452.4562161605626,4,57.475160891562524,41.23504778794006,1.0,b's0'
3,507491.6296112923,7461946.160036933,317.8349201440863,4,23.938386373388838,65.96551247643794,1.0,b's0'
0,542901.2982353838,7480316.599769844,472.2470454632722,4,87.93662505513248,29.16446458201449,1.0,b's0'
20,530458.8699187803,7485786.671744102,421.8108919110573,4,97.04158262517048,318.4881050810583,1.0,b's0'
20,524377.9132804006,7473154.427177435,385.48982903240847,4,18.491143381811014,319.17009525487174,1.0,b's0'
16,535200.5381885429,7499007.678957041,516.0840699040566,4,37.92928561939256,313.514904154872,1.0,b's0'
18,529645.446723814,7489252.5435133865,481.2893111468348,4,19.15135875149123,358.6663660608318,1.0,b's0'
18,550270.0610888709,7459464.46756908,516.6830056472344,4,68.38585623446329,345.22595233974033,1.0,b's0'
16,507035.7062826059,7487390.165952915,551.8131671064198,4,21.19065751861291,151.3255441788508,1.0,b's0'
20,523456.36663748696,7473263.678606435,389.9172642963082,4,36.449383369242184,157.81505084477385,1.0,b's0'
0,534115.381316568,7482319.127355185,437.1511697512146,4,93.8596903858869,25.179944897789312,1.0,b's0'
20,529872.2002359435,7466890.523534184,444.0247163872328,4,35.97683382098141,327.03049339922615,1.0,b's0'
20,534565.3495837703,7483134.853629371,449.9989136897241,4,52.3458574111759,268.3351231009947,1.0,b's0'
20,542756.6317157875,7481839.413396459,472.4082478855311,4,62.94294205923605,328.07021411831505,1.0,b's0'
11,513429.31208102824,7500794.618165074,516.9554048679285,4,69.6201227443265,36.339972871465534,1.0,b's0'
4,505447.66164017253,7467257.642047188,400.43153949715474,4,13.781388193879721,307.59445943042533,1.0,b's0'
4,505492.00108305755,7467272.499893404,400.43153949715474,4,48.25822365635288,0.02319513081738478,1.0,b's0'
11,510427.2281291454,7471166.316387565,536.3409353691422,4,46.25680011511171,339.4550754439802,1.0,b's0'
11,515275.591434325,7463389.691433616,368.6295286395977,4,39.17555033417333,332.32473433553696,1.0,b's0'
16,522374.4656193722,7459437.648772086,417.6902436818045,4,12.572107621786117,330.8355108805902,1.0,b's0'
20,521433.9446030432,7475951.50902208,389.1624883336188,4,15.597760679990714,27.956663954307942,1.0,b's0'
12,512689.7858106229,7470457.175692729,335.8397521505061,4,40.78277761264613,316.55205451417936,1.0,b's0'
3,507143.92619875516,7461730.164037577,328.84351052158127,4,58.76000603341119,349.3169860816414,1.0,b's0'
15,530114.5424560916,7460951.161567139,431.7522583215838,4,81.93515929477803,12.624782840776334,1.0,b's0'
20,530159.6884603163,7485141.686941299,415.5565810138799,4,56.96921728787874,355.3574662704052,1.0,b's0'
0,529502.3941597671,7483208.5130307935,416.6410606755281,4,55.52176602517014,16.271838002383333,1.0,b's0'
16,506821.98568052676,7487512.17196766,570.0719105092169,4,24.996572766543096,300.9493146172279,1.0,b's0'
0,540955.4138396917,7470324.107497545,447.33092995084246,4,5.024715156798763,82.96371810304822,1.0,b's0'
18,544138.6459059493,7458930.597129925,437.982096340444,4,10.501617114300217,280.8056756305874,1.0,b's0'
19,531090.7636863296,7486603.697009339,421.9906997807293,4,88.35781561554019,352.5301131804666,1.0,b's0'
1,508498.34697649576,7460195.981836576,361.9395378119322,4,51.39946683408807,357.26102893987667,1.0,b's0'
20,523605.2217176958,7473320.926268022,392.52656921517774,4,17.243868979782718,34.66621799860826,1.0,b's0'
16,548213.7872650542,7493266.77865222,543.2162750148965,4,71.41186974926498,8.696524541738142,1.0,b's0'
16,548222.2416458903,7493265.689489133,543.2162750148965,4,59.2887145792003,350.70528214473774,1.0,b's0'
9,510118.2132526117,7469694.33112113,328.99695548777527,4,79.9256644700159,349.92165094371535,1.0,b's0'
7,504081.9181631116,7463593.786757912,307.64728754331657,4,82.63177481070566,40.36575613013986,1.0,b's0'
16,506577.2874476602,7487717.264069361,570.414545708104,4,69.84475382693137,16.643626599580955,1.0,b's0'
