eventId,easting,northing,altitude,type,dipDir,dip,dipPolarity,val,displacement,posOnly
2235,518129.4196302534,7494447.858604968,420.0825585979116,0,87.24418964616224,60.74998982492457,1.0,0.0,0.0,0
2235,525327.5244400802,7483384.424902719,420.0825585979116,0,100.60850246420132,54.44079391891859,1.0,0.0,0.0,0
2235,512999.4075332856,7499499.905329511,551.3170318230653,0,98.71230707674493,50.44077694653856,1.0,0.0,0.0,0
11442,574934.5684128067,7490101.013582173,657.9313869680592,0,45.70742942149515,42.410481988804406,1.0,0.0,0.0,0
11442,573871.8898444549,7488485.739508837,657.9313869680592,0,34.56103741851504,58.02664624329083,1.0,0.0,0.0,0
11442,566559.9015914517,7495354.559528559,636.5090491641915,0,39.22358278677399,45.08239133533533,1.0,0.0,0.0,0
2235,525317.3328709847,7483415.085136085,420.0825585979116,0,,90.0,,0.0,0.0,1
2235,522886.16592410806,7486233.636069541,469.1703389234175,0,,90.0,,0.0,0.0,1
2235,521143.7249442604,7489108.111176404,515.1286857839648,0,,90.0,,0.0,0.0,1
2235,518916.8090779052,7493543.48772066,513.5177838397801,0,,90.0,,0.0,0.0,1
2235,518157.5304297076,7494460.708311458,527.412566838728,0,,90.0,,0.0,0.0,1
2235,516783.1637985186,7495776.836473962,533.4191887633333,0,,90.0,,0.0,0.0,1
2235,515018.9738740149,7497688.185081215,540.5751251379415,0,,90.0,,0.0,0.0,1
2235,514404.42145087704,7498228.873703881,584.5373311093429,0,,90.0,,0.0,0.0,1
2235,513017.69289879105,7499476.863063819,551.3170318230653,0,,90.0,,0.0,0.0,1
11442,573927.8748350169,7488497.528274466,657.9313869680592,0,,90.0,,0.0,0.0,1
11442,574798.9946058362,7489211.433378599,675.9790631847706,0,,90.0,,0.0,0.0,1
11442,575259.8285433332,7489459.766140845,706.6346490503133,0,,90.0,,0.0,0.0,1
11442,575218.1686887885,7489861.186874446,708.5232805757576,0,,90.0,,0.0,0.0,1
11442,574973.2478973164,7490026.6385799,688.9208623284259,0,,90.0,,0.0,0.0,1
11442,574521.6007119537,7490442.327918982,718.497613893797,0,,90.0,,0.0,0.0,1
11442,572011.8088366325,7492243.937874145,707.0234283143608,0,,90.0,,0.0,0.0,1
11442,568186.4770563858,7494785.6220978405,671.3811814324263,0,,90.0,,0.0,0.0,1
11442,566550.6413574627,7495388.06814387,636.5090491641915,0,,90.0,,0.0,0.0,1
